=== Sun Jul 27 11:23:20 PM EDT 2025 ===
Linux 6.8.0-63-generic (dewey-ubuntu) 	07/27/2025 	_x86_64_	(20 CPU)

11:23:20 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:23:54 PM   14   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:23:54 PM   15   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:23:54 PM   16   37.76    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   61.22
11:23:54 PM   17   47.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   50.00
11:23:54 PM   18   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:23:54 PM   19    8.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   87.00

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   53.48    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   45.47
Average:       0    2.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.94
Average:       1   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:       2   17.82    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   82.18
Average:       3   88.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   12.00
Average:       4   97.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
Average:       5    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
Average:       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:       7  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:       9  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:      12   34.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   65.00
Average:      13   38.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   57.00
Average:      14   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:      15   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:      16   37.76    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   61.22
Average:      17   47.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   50.00
Average:      18   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:      19    8.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   87.00
=== Sun Jul 27 11:24:04 PM EDT 2025 ===
Linux 6.8.0-63-generic (dewey-ubuntu) 	07/27/2025 	_x86_64_	(20 CPU)

11:24:04 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:24:05 PM  all   50.88    0.00    1.10    0.05    0.00    0.05    0.00    0.00    0.00   47.92
11:24:05 PM    0   66.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   33.67
11:24:05 PM    1   30.30    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   67.68
11:24:05 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:24:05 PM    3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:05 PM    4   87.88    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   12.12
11:24:05 PM    5   13.13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   86.87
11:24:05 PM    6   97.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.02
11:24:05 PM    7    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:24:05 PM    8    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:24:05 PM    9   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:05 PM   10   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:05 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:24:05 PM   12   15.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   84.00
11:24:05 PM   13   14.14    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   83.84
11:24:05 PM   14  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
