date,cadmium
YYYY-MM-DD,ppb
2019-06-11,1.17854
2019-06-11,1.24769
2019-06-11,1.3747200000000002
2019-06-11,1.4610100000000001
2019-06-11,1.36378
2019-06-11,1.28339
2019-06-11,1.38101
2019-06-11,1.26913
2019-06-11,1.29042
2019-06-11,1.36116
2019-06-11,1.29237
2019-06-11,1.40058
2019-06-11,1.25974
2019-06-11,1.4425599999999998
2019-06-12,1.12675
2019-06-13,0.77224
2019-06-14,0.91576
2019-06-15,1.03637
2019-06-16,0.92153
2019-06-24,1.1509
2019-06-25,1.03852
2019-06-26,2.3286100000000003
2019-06-27,1.06124
2019-06-28,0.81681
2019-06-29,0.67046
2019-06-30,0.5702
2019-07-01,0.3836
2019-07-02,0.52196
2019-07-03,0.54883
2019-07-04,0.64236
2019-07-05,0.40522
2019-07-06,0.6079600000000001
2019-07-07,0.38269
2019-07-08,0.47267000000000003
2019-07-09,0.69943
2019-07-10,0.57411
2019-07-11,0.45982
2019-07-12,0.29926
2019-07-13,0.40510999999999997
2019-07-14,0.33402
2019-07-15,0.43643
2019-07-16,0.36814
2019-07-17,0.51505
2019-07-18,0.56625
2019-07-19,0.42993000000000003
2019-07-20,0.42248
2019-07-21,0.45175
2019-07-22,0.65046
2019-07-23,0.55164
2019-07-24,0.58914
2019-07-25,0.4598
2019-07-26,0.38416
2019-07-26,0.2768
2019-07-26,0.28925
2019-07-26,0.48177
2019-07-26,0.45039999999999997
2019-07-26,0.29719
2019-07-27,0.28851000000000004
2019-07-27,0.36980999999999997
2019-07-27,0.34624
2019-07-27,0.3452
2019-07-27,0.29714999999999997
2019-07-27,0.35025
2019-07-27,0.30128
2019-07-27,0.35546
2019-07-27,0.27978
2019-07-27,0.33598999999999996
2019-07-27,0.34997
2019-07-27,0.35173000000000004
2019-07-27,0.42046
2019-07-27,0.33749
2019-07-27,0.26857
2019-07-27,0.35791999999999996
2019-07-27,0.40301
2019-07-27,0.35544
2019-07-27,0.42596
2019-07-28,0.59248
2019-07-29,0.23354
2019-07-30,0.70407
2019-07-31,0.76307
2019-08-01,0.47512
2019-08-02,0.49080999999999997
2019-08-03,0.50345
2019-08-04,0.43074
2019-08-05,0.48311
2019-08-06,0.50958
2019-08-07,0.53998
2019-08-08,0.36824999999999997
2019-08-09,0.41287999999999997
2019-08-10,0.40389
2019-08-11,0.33875
2019-08-12,0.46734
2019-08-13,0.40551
2019-08-17,0.7673399999999999
2019-08-18,0.41003
2019-08-19,0.3061
2019-08-20,0.63835
2019-08-21,0.32809
2019-08-22,0.35762000000000005
2019-08-23,0.31315000000000004
2019-08-24,0.39176
2019-08-25,0.44899
2019-08-26,0.55564
2019-08-27,0.52738
2019-08-28,0.30224
2019-08-29,0.27663
2019-08-30,0.30758
2019-08-31,0.2899
