"Wavelength, nm",MOP-1-2 NaCl whole,MOP-1-4 NaCl whole,MOP-2-2 NaCl whole,MOP-2-4 NaCl whole,MOP-3-2 NaCl whole,MOP-3-4 NaCl whole,MOP-3-6 NaCl whole,MOP-4-2 NaCl whole,MOP-4-3 NaCl whole,MCC-1A-3 NaCl whole,MCC-3-3 NaCl whole,MCC-3-6 NaCl whole,MCC-5-2 NaCl whole,MCC-5-4 NaCl whole,MCC-5-5 NaCl whole,MOP-1-2 PP-SPE,MOP-1-4 PP-SPE,MOP-2-2 PP-SPE,MOP-2-4 PP-SPE,MOP-3-2 PP-SPE,MOP-3-4 PP-SPE,MOP-3-6 PP-SPE,MOP-4-2 PP-SPE,MOP-4-3 PP-SPE,MCC-1A-3 PP-SPE,MCC-3-3 PP-SPE,MCC-3-6 PP-SPE,MCC-5-2 PP-SPE,MCC-5-4 PP-SPE,MCC-5-5 PP-SPE
231,2.527,1.851,3.630,1.239,2.793,2.446,2.620,3.731,1.439,3.477,3.360,4.806,2.086,1.532,1.480,7.971,7.032,6.943,7.271,8.039,8.111,9.262,8.222,6.670,6.761,6.132,7.381,7.549,8.338,8.761
232,2.486,1.827,3.577,1.220,2.752,2.416,2.591,3.688,1.426,3.427,3.320,4.748,2.062,1.514,1.470,7.847,6.950,6.873,7.198,7.963,8.025,9.164,8.121,6.591,6.692,6.065,7.297,7.471,8.261,8.671
233,2.458,1.801,3.539,1.211,2.726,2.394,2.572,3.657,1.416,3.392,3.289,4.703,2.042,1.500,1.455,7.799,6.894,6.827,7.147,7.906,7.966,9.095,8.047,6.541,6.644,6.017,7.245,7.414,8.201,8.603
234,2.422,1.772,3.488,1.193,2.688,2.360,2.544,3.613,1.401,3.343,3.252,4.649,2.022,1.484,1.445,7.712,6.814,6.758,7.080,7.829,7.883,9.008,7.949,6.459,6.576,5.955,7.157,7.336,8.124,8.510
235,2.383,1.741,3.435,1.182,2.650,2.334,2.512,3.570,1.390,3.293,3.208,4.589,1.998,1.469,1.435,7.625,6.722,6.684,6.997,7.748,7.791,8.902,7.844,6.389,6.509,5.883,7.078,7.263,8.042,8.410
236,2.345,1.702,3.384,1.155,2.612,2.299,2.475,3.515,1.360,3.244,3.165,4.530,1.965,1.439,1.410,7.541,6.646,6.615,6.922,7.676,7.703,8.801,7.746,6.310,6.441,5.814,6.991,7.175,7.953,8.305
237,2.310,1.676,3.336,1.132,2.576,2.268,2.447,3.465,1.357,3.197,3.123,4.471,1.938,1.433,1.402,7.452,6.562,6.544,6.848,7.595,7.618,8.704,7.645,6.232,6.372,5.749,6.906,7.094,7.865,8.206
238,2.274,1.639,3.286,1.123,2.537,2.234,2.411,3.415,1.334,3.148,3.080,4.412,1.912,1.415,1.385,7.364,6.475,6.473,6.768,7.513,7.526,8.599,7.539,6.153,6.299,5.679,6.820,7.007,7.776,8.098
239,2.242,1.607,3.244,1.102,2.505,2.199,2.386,3.373,1.308,3.100,3.043,4.362,1.883,1.393,1.357,7.292,6.405,6.409,6.699,7.446,7.449,8.510,7.451,6.088,6.240,5.618,6.747,6.932,7.696,8.007
240,2.206,1.572,3.193,1.073,2.465,2.163,2.346,3.327,1.295,3.051,2.993,4.299,1.850,1.372,1.349,7.199,6.316,6.334,6.617,7.362,7.353,8.400,7.348,6.004,6.166,5.543,6.659,6.843,7.601,7.899
